reference,price,color,brand_id,stock,description,provider_id
REF-1000,1000,Negro,1,33,Teléfono móvil iPhone 15 color Negro. Alta calidad y rendimiento.,3
REF-1001,999,Verde,1,20,Teléfono móvil iPhone 15 color Verde. Alta calidad y rendimiento.,2
REF-1002,1196,Verde,1,53,Teléfono móvil iPhone 15 Pro color Verde. Alta calidad y rendimiento.,3
REF-1003,1201,Negro,1,53,Teléfono móvil iPhone 15 Pro color Negro. Alta calidad y rendimiento.,3
REF-1004,1202,Blanco,1,65,Teléfono móvil iPhone 15 Pro color Blanco. Alta calidad y rendimiento.,1
REF-1005,792,Negro,1,126,Teléfono móvil iPhone 14 color Negro. Alta calidad y rendimiento.,1
REF-1006,798,Plata,1,117,Teléfono móvil iPhone 14 color Plata. Alta calidad y rendimiento.,3
REF-1007,889,Blanco,2,74,Teléfono móvil Galaxy S24 color Blanco. Alta calidad y rendimiento.,1
REF-1008,902,Verde,2,100,Teléfono móvil Galaxy S24 color Verde. Alta calidad y rendimiento.,1
REF-1009,1300,Plata,2,104,Teléfono móvil Galaxy S24 Ultra color Plata. Alta calidad y rendimiento.,3
REF-1010,1299,Negro,2,86,Teléfono móvil Galaxy S24 Ultra color Negro. Alta calidad y rendimiento.,3
REF-1011,1307,Verde,2,79,Teléfono móvil Galaxy S24 Ultra color Verde. Alta calidad y rendimiento.,3
REF-1012,443,Negro,2,68,Teléfono móvil Galaxy A54 color Negro. Alta calidad y rendimiento.,1
REF-1013,443,Azul,2,142,Teléfono móvil Galaxy A54 color Azul. Alta calidad y rendimiento.,3
REF-1014,460,Verde,2,19,Teléfono móvil Galaxy A54 color Verde. Alta calidad y rendimiento.,1
REF-1015,308,Negro,3,63,Teléfono móvil Redmi Note 13 color Negro. Alta calidad y rendimiento.,3
REF-1016,300,Blanco,3,80,Teléfono móvil Redmi Note 13 color Blanco. Alta calidad y rendimiento.,3
REF-1017,292,Verde,3,122,Teléfono móvil Redmi Note 13 color Verde. Alta calidad y rendimiento.,2
REF-1018,359,Plata,3,54,Teléfono móvil Poco X6 Pro color Plata. Alta calidad y rendimiento.,1
REF-1019,360,Negro,3,31,Teléfono móvil Poco X6 Pro color Negro. Alta calidad y rendimiento.,1
REF-1020,856,Negro,3,108,Teléfono móvil Xiaomi 14 color Negro. Alta calidad y rendimiento.,3
REF-1021,840,Azul,3,39,Teléfono móvil Xiaomi 14 color Azul. Alta calidad y rendimiento.,2
REF-1022,246,Azul,4,106,Teléfono móvil Moto G84 color Azul. Alta calidad y rendimiento.,3
REF-1023,243,Blanco,4,119,Teléfono móvil Moto G84 color Blanco. Alta calidad y rendimiento.,1
REF-1024,391,Plata,4,99,Teléfono móvil Edge 40 Neo color Plata. Alta calidad y rendimiento.,1
REF-1025,391,Verde,4,60,Teléfono móvil Edge 40 Neo color Verde. Alta calidad y rendimiento.,3
REF-1026,456,Blanco,5,103,Teléfono móvil Reno 10 color Blanco. Alta calidad y rendimiento.,2
REF-1027,456,Negro,5,59,Teléfono móvil Reno 10 color Negro. Alta calidad y rendimiento.,3
REF-1028,226,Plata,5,23,Teléfono móvil A78 color Plata. Alta calidad y rendimiento.,1
REF-1029,222,Blanco,5,82,Teléfono móvil A78 color Blanco. Alta calidad y rendimiento.,3
REF-1030,214,Negro,5,96,Teléfono móvil A78 color Negro. Alta calidad y rendimiento.,3
